,회사명,거래소코드,회계년도,부실판단,[U01410000]영업활동으로 인한 현금흐름(*)(천원),이자보상배율(이자비용)
21382,(주)온일포밍아트,67840,2019,0.0,-866881.0,-0.68
21383,에프이아이코리아주식회사,67844,2022,0.0,13735044.0,999999999.0
21384,주식회사와이더블유메디칼,67848,2020,0.0,534484.0,1.33
21385,(주)명디벨럽,67851,2017,0.0,2956739.0,0.0
21386,(주)일진이플러스,67853,2022,0.0,12679.0,1.03
21387,지와택(주),67857,2014,0.0,-603749.0,-0.02
21388,주식회사청계에이텐피에프브이,67858,2014,0.0,765454.0,27.46
21389,운정명동,67861,2022,0.0,1358768.0,3.17
21390,(주)보보스미트트레이딩,67864,2022,0.0,5197717.0,31.87
21391,성진중공업(주),67868,2015,0.0,-101325.0,0.6
21392,(주)양진텔레콤,67869,2019,0.0,783896.0,56.48
21393,주식회사보람리치,67871,2014,0.0,11107904.0,3.21
21394,주식회사썬아이엔씨,67873,2014,0.0,0.0,-23.39
21395,(주)천일에너지,67874,2020,0.0,2043155.0,-0.49
21396,주식회사에스앙크,67876,2022,0.0,782014.0,0.96
21397,주식회사이레머티리얼스,67877,2022,0.0,,10.97
21398,주식회사이레머티리얼스,67877,2022,0.0,2729141.0,10.97
21399,(주)나우산업,67878,2022,0.0,2692316.0,3.03
21400,행복도시상가개발(주),67880,2014,0.0,3354322.0,0.0
21401,포천에코개발주식회사,67882,2021,0.0,8249574.0,-25.52
21402,진영운수(주),67886,2019,0.0,654646.0,999999999.0
21403,(주)씨엠파트너스건축사사무소,67887,2019,0.0,1783339.0,-97.7
21404,(주)카네비모빌리티,67888,2022,0.0,-4613099.0,-3.01
21405,주식회사큐브인사이트,67892,2018,0.0,2648572.0,10.78
21406,휴먼플러스(주),67897,2022,0.0,4186331.0,3.41
21407,(주)라이포,67900,2015,0.0,2503271.0,999999999.0
21408,(주)시티주택건설,67901,2022,0.0,-23400821.0,19.5
21409,(주)정관디스플레이,67903,2014,0.0,1167531.0,8.87
21410,(주)태양테크,67908,2022,0.0,-1191907.0,-14.4
21411,(주)백상에스티,67909,2015,0.0,175552.0,1.22
21412,(주)제이에스앤씨,67913,2015,0.0,-464662.0,-0.27
21413,(주)에코월드이엔씨,67915,2021,0.0,-2132598.0,-0.57
21414,(주)진광건설엔지니어링,67919,2022,0.0,3013772.0,999999999.0
21415,엔비케이제약주식회사,67926,2019,0.0,-934993.0,-1.47
21416,(주)엔에스디영상,67927,2016,0.0,-4186146.0,-2.64
21417,(주)엠아이엔전자,67930,2016,0.0,2381233.0,-12.25
21418,(주)한국바이톤,67931,2016,0.0,,36.21
21419,(주)한국바이톤,67931,2016,0.0,1755487.0,36.21
21420,주식회사피코기연,67942,2019,0.0,289368.0,999999999.0
21421,(주)티에이밸브,67948,2022,0.0,3670804.0,7.34
21422,주식회사지오이앤씨,67949,2017,0.0,0.0,-9.12
21423,호일프랜트(주),67954,2021,0.0,4737438.0,10.86
21424,주식회사휠트론,67956,2022,0.0,620387.0,2.81
21425,(주)에이치디앤텍,67957,2022,0.0,,14.36
21426,(주)에이치디앤텍,67957,2022,0.0,6589123.0,14.36
21427,볼트개발주식회사,67958,2014,0.0,5097026.0,5.29
21428,(주)현대표지,67963,2022,0.0,-65737.0,999999999.0
21429,주식회사도건디피씨,67968,2019,0.0,2505267.0,0.0
21430,위블링,67973,2022,0.0,-3573519.0,-22.3
21431,하나파트너(주),67975,2014,0.0,0.0,17.78
21432,하이골드오션9호국제선박투자회사,67979,2021,0.0,5013683.0,999999999.0
21433,인천상공강화산단(주),67980,2019,0.0,507729.0,0.0
21434,(주)서호,67981,2017,0.0,275993.0,999999999.0
21435,(주)디엠케이,67983,2014,0.0,0.0,-7.13
21436,(주)삼우테크,67984,2015,0.0,-524246.0,-4.4
21437,아이엠씨주식회사,67985,2016,0.0,-2850560.0,1.12
21438,(주)미디안테크,67988,2014,0.0,-658336.0,1.93
21439,주식회사금상첨화,67991,2014,0.0,-961834.0,-6.98
21440,(주)고려기업,67992,2019,0.0,-838990.0,-10.27
21441,주식회사뜨래별,67994,2022,0.0,-3025167.0,-0.64
21442,(주)마성선박,67997,2015,0.0,1295487.0,3.14
21443,주식회사금화,67998,2021,0.0,34065.0,2.33
21444,주식회사한림로덱스,68002,2019,0.0,198393.0,1.21
21445,신호인터내셔날,68005,2022,0.0,12552.0,4.59
21446,하이골드오션11호국제선박투자회사,68007,2022,0.0,37148034.0,999999999.0
21447,(주)한미유나이티드,68008,2022,0.0,-3450452.0,4.3
21448,(주)피토,68021,2022,0.0,1571506.0,15.47
21449,(주)지에스엘,68022,2014,0.0,-4144805.0,20.97
21450,(주)무진서비스,68023,2022,0.0,5364703.0,106242.6
21451,(주)무지개렌트카,68028,2022,0.0,6611989.0,28.0
21452,주식회사씨알엔지니어링,68030,2016,0.0,536946.0,0.76
21453,주식회사동부에너지,68031,2022,0.0,6512384.0,22.79
21454,(주)우성아이비,68039,2022,0.0,1332504.0,12.64
21455,세종상가(주),68044,2014,0.0,7975011.0,189.54
21456,(주)유창하이텍,68047,2022,0.0,,1.29
21457,(주)유창하이텍,68047,2022,0.0,140489.0,1.29
21458,(주)제성,68082,2015,0.0,3456897.0,0.0
21459,주식회사에스에이치굿컴퍼니,68091,2022,0.0,180956.0,0.98
21460,부산벤처산업단지개발(주),68108,2014,0.0,8794869.0,166.28
21461,유진물산주식회사,68138,2015,0.0,-2116814.0,-1.58
21462,서한통산(주),68157,2022,0.0,624394.0,0.0
21463,농업회사법인주식회사돈키움,68174,2016,0.0,515312.0,-2.9
21464,(주)선제,68419,2022,0.0,88986.0,
21465,아시아퍼시픽27호선박투자회사,68561,2018,0.0,3248406.0,
21466,아시아퍼시픽26호선박투자회사,68562,2018,0.0,3249830.0,
21467,이미징솔루션코리아주식회사,68622,2022,0.0,1343833.0,2.94
21468,알디에스(주),68691,2022,0.0,3646093.0,999999999.0
21469,(주)국일유니밀,68698,2020,0.0,970889.0,2.59
21470,(주)도체오,68708,2019,0.0,1663611.0,30.85
21471,에너지관리기술(주),68714,2022,0.0,-366205.0,0.44
21472,(주)우진엔텍,68715,2022,0.0,6220109.0,28.65
21473,주식회사제노코,68722,2019,0.0,5056897.0,-9.86
21474,동인중공업주식회사,68729,2022,0.0,440121.0,4.12
