회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,비유동비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,매출액총이익률,총자본사업이익률,총자본정상영업이익률,자기자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,자기자본배율,유형자산증가율,재고자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,자기자본회전률,경영자본회전률,총자본회전률,비유동자산회전률,순운전자본회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
컨버즈(주),109070,2014,-2,-2,-2,-2,58,28,734,1136,868,71,-30,0,41,8,-87.64,-6.8,-9.59,1.4,-2.34,-2.41,-31.06,-3.4,4.36,2.6299999999999955,-9.386757067702586,-9.39,-14.7,-5.36,-10.78,55,-5.47,-0.84,4887,7,12,10,-99,0.746035523346476,3.85,3,1,9,1,1,1,1,2,15.0,15.0,쇠퇴기,1.0
케이알모터스(주),40,2014,-18,-28,-12,-20,96,64,153,199,153,41,-2,8,49,33,-24.69,-10.03,-15.96,1.5,-8.72,-9.04,-22.25,-14.38,2.62,-14.410000000000002,17.02919498798469,17.03,12.29,21.97,-19.9,77,13.52,35.74,4402,3,7,6,-289,0.5827481470090314,2.33,2,1,2,1,1,1,1,1,107.0,48.0,도입기,1.0
케이에이치건설(주),226360,2022,6,9,3,9,83,82,114,78,78,28,-8,15,36,56,-51.82,-104.59,-145.7,32.05,2.84,0.92,1.64,3.58,12.9,-21.11,-14.625617764622357,-14.63,-2.81,-20.08,14.12,879,5.59,0.0,-56429,-28,-1259,-101,0,0.2801628666309466,7.14,1,13,0,1,0,0,0,1,9.0,9.0,성장기,1.0
케이에이치전자(주),111870,2020,6,8,2,14,144,133,90,33,30,21,10,29,32,75,-39.46,-91.74,-326.76,27.11,-6.36,-6.93,-9.52,-67.97,2.18,-25.08,-18.69763623460828,-18.7,-0.27,-25.25,-52.48,229,-6.64,-40.49,-50431,-33,-945,-288,0,0.1136578389180448,3.58,0,3,0,0,0,0,0,0,36.0,14.0,도입기,1.0
케이엠제약(주),225430,2022,7,8,2,7,51,31,124,41,34,26,-12,4,12,71,-10.3,-12.27,-25.11,20.63,-1.57,-2.4,-3.27,-7.97,-0.3,-8.780000000000001,-2.647866224425413,-2.65,-35.55,4.92,-31.15,1303,-10.73,-11.08,19,0,0,0,-20238,0.3048187544051286,5.36,3,1,0,0,0,0,1,2,9.0,9.0,도입기,0.0
켄코아에어로스페이스(주),274090,2022,-7,-13,-5,-8,92,40,172,240,183,37,-4,12,50,29,10.18,2.92,4.28,19.92,6.82,6.76,25.07,10.53,5.27,72.74000000000001,21.699909201170087,21.7,27.19,16.75,38.72,623,-0.81,58.56,29931,23,88,39,11,0.5846424323516884,6.78,3,2,2,1,1,1,1,1,11.0,4.0,도입기,1.0
코아스템켐온(주),166480,2019,-8,-95,-1,-3,645,639,55,15,9,1,44,44,52,87,-8.62,-5.53,-18.0,20.34,-5.36,-5.82,-6.68,-20.95,-1.39,-3.31,-4.05029940546406,-4.05,-9.89,3.3,8.82,734,9.67,-18.85,11543,13,42,48,-38,0.2835380468930225,2.68,1,1,0,0,0,1,0,1,21.0,9.0,쇠퇴기,1.0
코오롱티슈진(주),950160,2019,-126,-171,-31,-1278,806,802,13,33,15,18,79,325,91,75,-42.69,-34.13,-1613.66,8.37,-29.12,-30.79,-38.57,-1458.06,-40.51,-20.99,-24.34962371333049,-24.35,-27.94,45.27,-19.34,3367946,178.57,-31.4,-38940,-31,-1333,-1275,0,0.0245173688996431,3.97,0,2,0,0,0,0,0,0,25.0,7.0,쇠퇴기,1.0
코위버(주),56360,2022,-24,-69,-5,-10,310,180,44,28,27,8,45,15,66,78,3.46,3.16,5.01,23.18,0.54,0.18,0.23,0.33,-0.32,-2.1500000000000004,5.940900846072613,5.94,14.55,-7.55,4.56,2689,0.44,39.56,14102,8,39,16,32,0.530735003185719,4.25,1,2,1,1,1,2,1,1,24.0,23.0,쇠퇴기,0.0
퀀타피아(주),78940,2014,-4,-9,-3,-9,25,25,301,248,190,31,-41,1,13,29,-72.59,-61.96,-74.99,9.15,0.56,0.47,1.58,1.63,4.33,-41.45,-25.241094406705628,-25.24,19.06,-29.34,-32.42,130,-99.67,0.0,-7328,-28,-16653,-83,0,0.3386405136684672,7.39,3,1,1,1,0,0,0,3,20.0,20.0,쇠퇴기,1.0
