회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
상신이디피(주),91580,2022,23.0,37.0,11.0,10.0,118.0,92.0,100.0,88.0,30.0,8.0,37.0,52.0,50.0,21.88,12.08,8.42,14.83,14.72,11.26,0.64,0.017263461560958,21.82320015703588,21.82,36.06,9.4,47.24,9.68,35112.90919999999,27.0,69.0,23.0,37.0,65.0,1.1894571509323577,7.35,3.0,3.0,1.0,1.0,3.0,3.0,32.0,0,0,1,0,0.0
(주)한국스치로폴,91913,2022,1.59,1.81,0.59,1.12,86.72,83.19,59.01,58.51,32.52,-4.89,7.58,31.91,62.89,-2.5,-3.27,-3.04,1.54,1.21,2.17,0.14,-0.0690229352564231,13.78460612168827,13.78,-12.11,32.01,17.89,-6.25,221.42,0.73,5.49,1.38,-219.72,-61.88,0.5248486057349273,6.27,1.59,3.85,1.08,0.56,0.88,1.54,31.0,0,0,1,0,0.0
아트랜드개발주식회사,98443,2022,1.21,1.35,0.89,5.93,30.37,30.37,273.57,170.0,65.62,-31.69,6.43,13.82,26.77,20.85,5.27,33.79,8.57,8.57,54.94,11.76,0.0394070911083424,9.03579122873422,9.04,158.89,-0.23,49.48,-0.23,2046.41,11.15,13.0,74.56,45.32,82.88,0.1495523658993852,31.3,1.56,0.17,0.16,0.16,0.17,1.56,14.0,0,0,1,0,0.0
(주)연타운,82462,2019,0.93,1.09,0.77,10.87,2.42,2.42,474.08,406.31,70.33,-69.06,0.09,1.72,17.42,0.41,0.07,1.01,3.12,3.1,43.63,42.6,-0.0222336820955846,1.7095026200523715,1.71,166.14,0.62,2.33,0.35,548.59,5.0,5.2,70.96,1.42,97.57,0.0704425202891274,29.59,5.97,0.07,0.07,0.07,0.07,5.97,15.0,0,0,1,0,0.0
(주)창보,80516,2022,2.31,2.42,1.88,7.46,57.74,37.1,427.52,306.25,77.45,-24.54,2.56,33.52,18.96,1.07,0.21,0.8,2.57,2.56,9.88,11.05,-0.0074230458637146,6.19531991852877,6.2,25.15,-1.34,19.72,-1.3,2029.62,7.54,11.5,30.01,2.68,73.03,0.2513116562605773,5.49,1.33,0.38,0.26,0.26,0.38,0.83,9.0,0,0,1,0,0.0
(주)협진정공,76056,2022,13.93,16.85,8.22,13.88,65.65,56.08,143.98,87.18,48.79,-12.27,15.45,23.46,40.99,9.21,4.05,6.09,5.58,5.54,8.43,2.24,0.0450814419787257,24.54743166343206,24.55,-4.86,37.58,7.83,40.3,3384.1,13.6,17.93,22.96,26.54,71.32,0.5921032750929869,4.45,2.86,0.91,0.66,0.66,0.9,2.46,24.0,0,0,1,0,0.0
고평,100315,2022,-1.7,-1.9,-1.02,-1.6,91.07,58.79,148.69,67.23,53.54,-2.41,0.7,24.62,40.21,15.25,5.99,8.99,8.44,8.27,12.57,3.18,0.1118985846214269,7.7254403617958305,7.73,58.21,-2.44,23.98,-2.91,2079.83,14.5,19.89,22.87,39.3,92.48,0.6342137368779853,7.89,5.15,0.86,0.67,0.66,0.83,3.16,13.0,0,0,1,0,0.0
이앤에스(주),75888,2022,8.26,10.98,5.45,7.5,213.21,188.31,193.99,64.77,49.66,24.94,1.74,46.97,34.02,2.03,0.7,0.94,1.82,0.77,1.04,0.8,-0.1358722121393856,3.547288896391912,3.55,11.22,-2.42,9.79,-2.47,5729.68,12.49,24.38,17.2,5.47,67.64,0.726403932995052,7.53,1.81,1.37,0.74,0.74,1.35,1.63,28.0,0,0,1,0,0.0
에임트주식회사,98118,2022,-3.89,-4.31,-2.61,-6.35,82.33,66.85,203.75,131.41,60.61,-7.64,33.08,35.62,32.92,-6.51,-2.48,-4.8,-0.68,-0.98,-2.22,2.66,0.1619527149364874,15.646005291087596,15.65,-26.23,68.6,-15.03,69.33,1247.13,4.47,12.02,10.89,-44.11,20.91,0.4107959487186642,3.02,1.23,0.81,0.52,0.44,0.8,0.98,8.0,0,0,1,0,0.0
지이티주식회사,52168,2022,2.1,2.54,1.52,4.48,52.85,29.79,258.33,171.18,59.73,-22.52,3.02,25.25,27.91,0.65,0.21,0.53,1.76,1.76,5.15,6.79,0.00017259723923,2.0060668628546185,2.01,18.63,-2.6,17.57,2.29,1729.87,8.58,14.91,25.34,2.11,64.98,0.3387441649382419,3.72,2.72,0.6,0.4,0.34,0.45,1.46,26.0,0,0,1,0,0.0
