회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
주식회사대원산기,64222,2022,0.7,0.82,0.6,0.73,8.24,7.73,582.24,553.06,72.69,-74.39,1.49,6.68,14.66,-13.4,-2.14,-2.58,0.38,0.37,0.46,1.35,5.970000000000001,-2.241939935926807,-2.24,-23.11,-0.31,-2.56,-0.31,620.37,3.76,4.03,4.61,-56.0,22.82,0.8149519001356177,32.64,21.47,0.87,0.83,0.81,0.87,10.61,13.0,0,1,0,0,0.0
(주)양지랜드,58478,2014,46.35,151.74,42.18,53.83,109.12,5.31,1011.28,1011.28,27.79,8.3,2.96,99.3,9.0,1100.72,15.01,19.44,25.33,25.32,32.8,0.95,1100.72,-2.8487048002063355,-2.85,21529.42,-99.32,3976.22,-100.0,1551.56,22.02,38789075.0,28.1,69.18,95.2,0.7834718068301105,443.52,29.63,1.53,0.77,0.77,1.52,1.57,22.0,0,1,0,0,0.0
(주)중일테크,83009,2022,17.44,21.26,12.62,13.05,85.21,80.41,261.73,133.12,59.36,-5.44,13.49,31.36,27.65,35.16,8.52,8.54,13.37,13.33,13.36,2.33,26.26,6.418290434644471,6.42,15.96,2.56,41.03,4.88,3387.65,24.64,36.76,25.48,33.54,80.52,0.9673735508764578,10.45,3.64,1.48,1.0,1.0,1.43,3.31,24.0,0,1,0,0,0.0
주식회사계양정밀,17465,2022,12.51,17.87,8.49,7.83,122.58,46.28,210.58,161.42,47.48,11.74,0.35,63.71,32.2,1.33,0.44,0.4,2.34,1.8,1.73,2.4,5.23,-7.608801050090704,-7.61,-8.73,-5.57,8.16,-11.18,8636.5,11.65,71.17,10.75,3.71,72.75,1.0841778439696743,4.94,4.23,6.05,1.11,1.04,2.9,1.62,30.0,0,1,0,0,0.0
주식회사엘케이엔지니어링,86374,2022,102.98,294.12,25.1,32.16,642.52,595.54,32.23,10.75,8.53,44.12,314.44,52.26,75.63,35.68,30.99,30.24,31.15,31.03,34.12,0.05,0.0,0.0,39.7,83.57,10.74,50.97,9.25,26874.49,41.7,122.86,53.43,56.6,73.09,0.0,8.58,2.14,1.9,1.02,0.91,1.72,1.93,13.0,0,1,0,0,0.0
주식회사대송메디칼,88840,2020,28.82,44.56,12.25,21.66,178.71,167.13,73.95,59.71,27.5,27.02,22.82,61.35,57.49,6.23,3.82,6.15,4.2,4.11,8.1,1.38,-1.7699999999999996,-18.73791227587946,-18.74,-33.08,23.18,-46.47,18.55,1483.62,11.94,84.97,21.11,29.11,48.48,0.5655426898666484,1.14,0.79,2.13,0.62,0.51,1.62,0.74,25.0,0,1,0,0,0.0
화신여객(주),94260,2022,92.33,507.36,29.2,12.73,133.11,131.91,46.25,37.07,5.75,8.39,74.51,33.74,68.38,10.8,7.79,3.28,5.25,5.11,2.2,0.0,-4.34,2.343393527829151,2.34,18.79,-4.4,15.3,-5.38,2758.77,39.69,66.62,17.3,18.96,65.24,2.293540935834047,0.0,7.45,3.74,2.38,2.32,3.38,7.38,47.0,0,1,0,0,0.0
주식회사코텍전자,85321,2022,27.75,41.69,7.92,8.03,79.45,77.31,39.92,33.43,18.99,-4.91,14.82,18.98,71.47,13.85,15.99,9.75,11.32,10.53,10.5,-0.2,-1.1300000000000008,3.5462743019380105,3.55,-12.34,8.14,-13.85,-2.64,3835.12,19.55,50.8,19.84,49.13,64.23,0.9855359697045496,6.08,4.98,2.53,1.64,1.0,1.26,4.85,24.0,0,1,0,0,0.0
(주)동림유화,41229,2022,5.04,6.29,3.42,5.99,119.02,103.86,211.13,132.55,54.33,8.1,2.06,50.7,32.14,16.41,6.27,9.01,1.14,0.73,1.25,3.01,1.42,3.964754972889808,3.96,-2.66,11.79,1.63,5.0,4428.25,15.94,53.8,27.91,32.29,53.98,0.5711433302824178,1.82,1.27,1.95,0.7,0.58,1.22,1.11,28.0,0,1,0,0,0.0
주식회사서산수골프앤리조트,44298,2022,24.32,28.38,7.42,29.47,52.15,52.15,43.94,42.79,26.16,-14.22,26.08,15.5,69.47,9.65,6.6,25.4,9.13,9.0,35.25,3.26,-0.6799999999999997,2.644226505471108,2.64,30.03,-1.17,3.33,-1.16,10798.48,14.57,17.72,57.82,43.92,77.93,0.2519403723827143,70.68,1.84,0.3,0.26,0.26,0.3,1.84,21.0,0,1,0,0,0.0
(주)한미이엔지,49237,2022,23.81,29.21,12.36,3.67,135.57,99.44,107.86,84.88,42.3,14.52,21.15,55.36,48.11,9.23,4.17,1.26,7.15,7.13,2.22,0.56,3.37,-9.03608699576763,-9.04,-13.62,-2.63,29.45,-0.06,4788.72,17.51,46.0,5.2,24.25,69.27,3.3685418224864256,10.26,8.48,8.66,3.31,3.21,7.45,5.64,21.0,0,1,0,0,0.0
대원씨아이주식회사,46939,2022,19.35,124.92,6.91,5.0,241.42,176.35,55.56,50.59,5.53,46.0,23.12,78.52,64.29,14.65,9.62,6.35,12.11,11.12,7.64,-0.37,-2.389999999999999,11.304046100590652,11.3,6.97,30.63,8.93,-17.37,7366.74,21.21,438.67,15.35,41.37,56.08,1.3820192192197724,6.65,2.44,25.87,1.52,1.46,7.29,1.82,18.0,0,1,0,0,0.0
주식회사휴먼코아,69947,2022,27.82,0.0,11.5,4.16,240.39,240.39,70.43,59.63,0.0,49.12,1.69,84.11,58.68,24.04,14.35,4.78,16.94,16.44,5.55,-0.17,-1.6099999999999994,15.354396577342916,15.35,18.29,1.95,12.7,0.16,9095.37,51.87,377.32,18.76,25.46,32.7,2.764421391136083,6.9,3.56,20.12,3.0,2.96,17.56,3.56,23.0,0,1,0,0,0.0
(주)동양환경,14210,2022,45.24,64.01,17.96,33.16,82.51,82.13,65.85,48.34,28.06,-5.1,18.75,24.05,60.3,55.77,52.51,50.13,23.51,23.15,38.36,0.78,83.29,25.81943651126404,25.82,-9.81,43.81,19.98,-2.58,28583.98,38.45,135.59,70.99,70.62,96.82,0.5416484880877055,7.73,2.14,1.7,1.05,0.6,0.84,2.14,32.0,0,1,0,0,0.0
(주)비비건설,77556,2017,70.47,254.81,64.99,734.98,74.02,58.3,1184.85,337.0,25.5,-6.81,41.79,19.42,7.78,-94.8,-11.31,-158.63,-9.23,-9.25,-129.8,4.36,-94.8,-32.4921380550476,-32.49,-85.36,418.57,-98.53,436.26,-639.14,-8.46,-10.51,-95.66,0.0,0.0,0.0884208342062048,7.41,0.26,0.19,0.07,0.07,0.18,0.12,18.0,0,1,0,0,0.0
주식회사화진인더스,38951,2017,22.53,32.49,14.54,21.46,58.14,53.53,181.91,160.49,44.76,-23.83,35.62,33.1,35.47,12.02,5.33,5.7,7.49,7.48,10.93,3.5,-30.94,2.150605807637206,2.15,-3.19,5.02,-9.68,0.48,1532.28,14.43,37.27,21.3,26.76,58.42,0.6774678983483959,5.06,2.2,1.75,0.94,0.68,1.04,2.01,25.0,0,1,0,0,0.0
